Property Title,Price,Area,BHK,Bathrooms,Furnishing,Seller Type,Locality,City,Source,Raw_Details
4 BHK Flatin Satellite,"SPShannon Projects LLP1/26Zero BrokerageShannon SierraRERA4 BHK Flatin Satellite4 BHK Flat₹3.44 CrAvg. Price: ₹8.19k/sq.ftPossession: Dec, 2028Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"SP | Shannon Projects LLP | 1 | / | 26 | Zero Brokerage | Shannon Sierra | RERA | 4 BHK Flat | in Satellite | 4 BHK Flat | ₹3.44 Cr | Avg. Price: ₹8.19k/sq.ft | Possession: Dec, 2028 | Contact"
"3, 4 BHK Flatsin Naranpura","ALAaryan Life Space1/30Zero BrokerageAaryan Solaris ResidencyRERA3, 4 BHK Flatsin Naranpura3 BHK Flat₹1.56 Cr - 1.75 Cr4 BHK Flat₹1.69 Cr - 1.87 CrAvg. Price: ₹5.98 K/sq.ftPossession: Mar, 2027Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"AL | Aaryan Life Space | 1 | / | 30 | Zero Brokerage | Aaryan Solaris Residency | RERA | 3, 4 BHK Flats | in Naranpura | 3 BHK Flat | ₹1.56 Cr - 1.75 Cr | 4 BHK Flat | ₹1.69 Cr - 1.87 Cr | Avg. Price: ₹5.98 K/sq.ft | Possession: Mar, 2027 | Contact"
"3, 4 BHK Flat,Penthousesin Shantigram","SHIVALIK GROUP+2more1/19Zero BrokerageShivalik GreenfieldRERA3, 4 BHK Flat,Penthousesin Shantigram3 BHK Flat₹1.77 Cr4 BHK Penthouse₹3.64 CrAvg. Price: ₹12.84 K - 15.39 K/sq.ftPossession: Dec, 2029Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"SHIVALIK GROUP | + | 2 | more | 1 | / | 19 | Zero Brokerage | Shivalik Greenfield | RERA | 3, 4 BHK Flat,Penthouses | in Shantigram | 3 BHK Flat | ₹1.77 Cr | 4 BHK Penthouse | ₹3.64 Cr | Avg. Price: ₹12.84 K - 15.39 K/sq.ft | Possession: Dec, 2029 | Contact"
"2, 3 BHK Flatsin Lambha","Sammoda Grandeur And Harihar Realty1/313D viewZero BrokerageThe OriginRERA2, 3 BHK Flatsin Lambha2 BHK Flat₹37 L - 37.5 L3 BHK Flat₹40 L - 49.51 LAvg. Price: ₹4.68 K - ₹5.85 K/sq.ftPossession: Dec, 2028Updated1w agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Sammoda Grandeur And Harihar Realty | 1 | / | 31 | 3D view | Zero Brokerage | The Origin | RERA | 2, 3 BHK Flats | in Lambha | 2 BHK Flat | ₹37 L - 37.5 L | 3 BHK Flat | ₹40 L - 49.51 L | Avg. Price: ₹4.68 K - ₹5.85 K/sq.ft | Possession: Dec, 2028 | Updated | 1w ago | Contact"
3 BHK Flatin Vasna,"Swara Group1/35New LaunchSwara SkyariseRERA3 BHK Flatin Vasna3 BHK Flat₹1.55 CrAvg. Price: ₹7.21k/sq.ftPossession: Apr, 2028Contact",N/A,3 BHK,N/A,N/A,N/A,Ahmedabad,Ahmedabad,Housing.com,"Swara Group | 1 | / | 35 | New Launch | Swara Skyarise | RERA | 3 BHK Flat | in Vasna | 3 BHK Flat | ₹1.55 Cr | Avg. Price: ₹7.21k/sq.ft | Possession: Apr, 2028 | Contact"
4 BHK Flatin Near Nirma University On SG Highway,"Ganesh Housing Limited+5more1/24Zero BrokerageMalabar RetreatRERA4 BHK Flatin Near Nirma University On SG Highway4 BHK Flat₹2.77 Cr - 2.81 CrAvg. Price: ₹11.55 K/sq.ftPossession: Sep, 2027Updated3w agoContact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Ganesh Housing Limited | + | 5 | more | 1 | / | 24 | Zero Brokerage | Malabar Retreat | RERA | 4 BHK Flat | in Near Nirma University On SG Highway | 4 BHK Flat | ₹2.77 Cr - 2.81 Cr | Avg. Price: ₹11.55 K/sq.ft | Possession: Sep, 2027 | Updated | 3w ago | Contact"
3 BHK Flatin Bhadaj,"Laxmi Goldorna House LTD1/22Zero BrokerageLaxmi One01RERA3 BHK Flatin Bhadaj3 BHK Flat₹88.01 LAvg. Price: ₹4.45k/sq.ydPossession: Mar, 2028Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Laxmi Goldorna House LTD | 1 | / | 22 | Zero Brokerage | Laxmi One01 | RERA | 3 BHK Flat | in Bhadaj | 3 BHK Flat | ₹88.01 L | Avg. Price: ₹4.45k/sq.yd | Possession: Mar, 2028 | Contact"
"3, 3.5 BHK Flatsin University Area","SHIVALIK GROUP1/52Zero BrokerageShivalik Sharda HarmonyRERA3, 3.5 BHK Flatsin University Area3 BHK Flat₹1.61 Cr3.5 BHK Flat₹1.65 Cr - 1.85 CrAvg. Price: ₹14.82 K/sq.ftPossession: Sep, 2024Contact",N/A,5 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"SHIVALIK GROUP | 1 | / | 52 | Zero Brokerage | Shivalik Sharda Harmony | RERA | 3, 3.5 BHK Flats | in University Area | 3 BHK Flat | ₹1.61 Cr | 3.5 BHK Flat | ₹1.65 Cr - 1.85 Cr | Avg. Price: ₹14.82 K/sq.ft | Possession: Sep, 2024 | Contact"
"4, 5 BHK Villasin Kasindra","The Ananta Bliss1/20Zero BrokerageThe Ananta Bliss4, 5 BHK Villasin Kasindra4 BHK Villa₹1.45 Cr5 BHK Villa₹1.85 CrAvg. Price: ₹32.58 K/sq.ydPossession: Nov, 2028Contact",N/A,5 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"The Ananta Bliss | 1 | / | 20 | Zero Brokerage | The Ananta Bliss | 4, 5 BHK Villas | in Kasindra | 4 BHK Villa | ₹1.45 Cr | 5 BHK Villa | ₹1.85 Cr | Avg. Price: ₹32.58 K/sq.yd | Possession: Nov, 2028 | Contact"
3 BHK Flatin Bapunagar,"Swarnim Group1/16Zero BrokerageSwarnim New Project3 BHK Flatin Bapunagar3 BHK Flat₹89.98 LAvg. Price: ₹3.97k/sq.ftPossession: Mar, 2028Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Swarnim Group | 1 | / | 16 | Zero Brokerage | Swarnim New Project | 3 BHK Flat | in Bapunagar | 3 BHK Flat | ₹89.98 L | Avg. Price: ₹3.97k/sq.ft | Possession: Mar, 2028 | Contact"
3 BHK Villain Kasindra,"RPReal Pearl Properties llp1/9Zero BrokerageSurdhara 963 BHK Villain Kasindra3 BHK Villa₹75.51 LAvg. Price: ₹2.85k/sq.ftPossession: Jun, 2026Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"RP | Real Pearl Properties llp | 1 | / | 9 | Zero Brokerage | Surdhara 96 | 3 BHK Villa | in Kasindra | 3 BHK Villa | ₹75.51 L | Avg. Price: ₹2.85k/sq.ft | Possession: Jun, 2026 | Contact"
3 BHK Flatin Vasna,"AAArcus Aura Infra LLP1/203D viewZero BrokerageArcus AuraRERA3 BHK Flatin Vasna3 BHK Flat₹1.32 Cr - 1.37 CrAvg. Price: ₹56.63 K/sq.ydPossession: Nov, 2028Updated1w agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"AA | Arcus Aura Infra LLP | 1 | / | 20 | 3D view | Zero Brokerage | Arcus Aura | RERA | 3 BHK Flat | in Vasna | 3 BHK Flat | ₹1.32 Cr - 1.37 Cr | Avg. Price: ₹56.63 K/sq.yd | Possession: Nov, 2028 | Updated | 1w ago | Contact"
"2, 3 BHK Flatsin Ognaj","KGKopren Group+1more1/333D viewZero BrokerageKoprenRERA2, 3 BHK Flatsin Ognaj2 BHK Flat₹59.49 L - 64.01 L3 BHK Flat₹79.1 L - 79.9 LAvg. Price: ₹40.49 K/sq.ydPossession: Dec, 2027Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"KG | Kopren Group | + | 1 | more | 1 | / | 33 | 3D view | Zero Brokerage | Kopren | RERA | 2, 3 BHK Flats | in Ognaj | 2 BHK Flat | ₹59.49 L - 64.01 L | 3 BHK Flat | ₹79.1 L - 79.9 L | Avg. Price: ₹40.49 K/sq.yd | Possession: Dec, 2027 | Contact"
3 BHK Flatin Nana Chiloda,"BGBMP Galaxy Infra1/19Zero BrokeragePavitram ParisarRERA3 BHK Flatin Nana Chiloda3 BHK Flat₹70.19 LAvg. Price: ₹3.33k/sq.ydPossession: Feb, 2028Updated1d agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"BG | BMP Galaxy Infra | 1 | / | 19 | Zero Brokerage | Pavitram Parisar | RERA | 3 BHK Flat | in Nana Chiloda | 3 BHK Flat | ₹70.19 L | Avg. Price: ₹3.33k/sq.yd | Possession: Feb, 2028 | Updated | 1d ago | Contact"
"2, 3 BHK Flatsin Vasna",N/A,N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Swara Group | 1 | / | 30 | Zero Brokerage | Swara Sky Elegance | RERA | 2, 3 BHK Flats | in Vasna | 2 BHK Flat | Price on Request | 3 BHK Flat | Price on Request | Possession: Aug, 2027 | Contact"
3 BHK Flatin Shilaj,"Aaryan Projects1/17Zero BrokerageAmaraRERA3 BHK Flatin Shilaj3 BHK Flat₹82.01 LAvg. Price: ₹4.56k/sq.ftPossession: Dec, 2029Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Aaryan Projects | 1 | / | 17 | Zero Brokerage | Amara | RERA | 3 BHK Flat | in Shilaj | 3 BHK Flat | ₹82.01 L | Avg. Price: ₹4.56k/sq.ft | Possession: Dec, 2029 | Contact"
"2, 3 BHK Flatsin Shilaj","OEOur Earth1/20Zero BrokerageBetween The TreesRERA2, 3 BHK Flatsin Shilaj2 BHK Flat₹46.44 L - 53.78 L3 BHK Flat₹63.11 L - 63.83 LAvg. Price: ₹3.6 K/sq.ftPossession: Dec, 2027Updated1w agoContact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"OE | Our Earth | 1 | / | 20 | Zero Brokerage | Between The Trees | RERA | 2, 3 BHK Flats | in Shilaj | 2 BHK Flat | ₹46.44 L - 53.78 L | 3 BHK Flat | ₹63.11 L - 63.83 L | Avg. Price: ₹3.6 K/sq.ft | Possession: Dec, 2027 | Updated | 1w ago | Contact"
"2, 3 BHK Flatsin Chandkheda","KBKK Builders Ahmedabad+1more1/28Zero BrokerageKK Shyam Height IRERA2, 3 BHK Flatsin Chandkheda2 BHK Flat₹69.31 L - 73.4 L3 BHK Flat₹88.78 LAvg. Price: ₹40.05 K/sq.ydPossession: Mar, 2030Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"KB | KK Builders Ahmedabad | + | 1 | more | 1 | / | 28 | Zero Brokerage | KK Shyam Height I | RERA | 2, 3 BHK Flats | in Chandkheda | 2 BHK Flat | ₹69.31 L - 73.4 L | 3 BHK Flat | ₹88.78 L | Avg. Price: ₹40.05 K/sq.yd | Possession: Mar, 2030 | Contact"
4 BHK Flatin Ambli,"SHIVALIK GROUP1/33Zero BrokerageShivalik EdgeRERA54 BHK Flatin Ambli4 BHK Flat₹3.62 Cr - 3.77 CrAvg. Price: ₹15.96 K/sq.ftPossession: Mar, 2024Contact",N/A,4 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"SHIVALIK GROUP | 1 | / | 33 | Zero Brokerage | Shivalik Edge | RERA | 5 | 4 BHK Flat | in Ambli | 4 BHK Flat | ₹3.62 Cr - 3.77 Cr | Avg. Price: ₹15.96 K/sq.ft | Possession: Mar, 2024 | Contact"
"2, 3 BHK Penthouse,Flatsin Naranpura","Sun Buildcon Gujarat LLP1/32Zero BrokerageSuryansh SkylineRERA2, 3 BHK Penthouse,Flatsin Naranpura2 BHK Flat₹72 L - 78 L2 BHK Penthouse₹97 L - 1.1 Cr3 BHK Flat₹1.18 CrAvg. Price: ₹5.93 K - 6.36 K/sq.ftPossession: Jun, 2027Contact",N/A,3 BHK,N/A,N/A,Agent,Ahmedabad,Ahmedabad,Housing.com,"Sun Buildcon Gujarat LLP | 1 | / | 32 | Zero Brokerage | Suryansh Skyline | RERA | 2, 3 BHK Penthouse,Flats | in Naranpura | 2 BHK Flat | ₹72 L - 78 L | 2 BHK Penthouse | ₹97 L - 1.1 Cr | 3 BHK Flat | ₹1.18 Cr | Avg. Price: ₹5.93 K - 6.36 K/sq.ft | Possession: Jun, 2027 | Contact"
"4 BHK Flat for Sale in Aristo Anantam, Chharodi, Ahmedabad",₹2.72 Cr,460 sqyrd,4 BHK,N/A,Unfurnished,Builder,"Aristo Anantam, Chharodi, Ahmedabad",Ahmedabad,MagicBricks,"ZERO BROKERAGE | 4 BHK Flat for Sale in Aristo Anantam, Chharodi, Ahmedabad | Aristo Anantam | Super Area | 460 sqyrd | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Aristo Anantam | Car Parking | 1 Covered | Bathroom | 4 | Aristo Anantam is strategically located at Chharodi with a seamless connectivity to the prominent areas of Ahmedabad. You could find your perfect sanctuary here, as the project offers different configurations of Flat. Aristo Anantam has been built by reputed real estate developer Aristo lifespaces Realty Llp. The project's pin code is 382481. Relish the benefits of living in Aristo Anantam, which offers all modern comforts. | Read more | ₹ | 2.72 Cr | ₹ | 6570 per sqft | Request Callback | Get Info | Builder: Aristo Lifespaces Realty Llp"
"4 BHK Flat for Sale in Propus Clara, Vastral, Ahmedabad",₹1.37 Cr,412 sqyrd,4 BHK,N/A,Unfurnished,Builder,"Propus Clara, Vastral, Ahmedabad",Ahmedabad,MagicBricks,"ZERO BROKERAGE | 4 BHK Flat for Sale in Propus Clara, Vastral, Ahmedabad | Propus Clara | Super Area | 412 sqyrd | Under Construction | Poss. by Jan '26 | Transaction | New Property | Furnishing | Unfurnished | Society | Propus Clara | Car Parking | 1 Covered | Bathroom | 4 | A lifestyle full of exciting privileges Being positioned in the Vastral Propus Clara of offering residences that reflect richness & opulence in the sheer sense. The impeccably conceptualized, meticulously designed, and the strategically planned project is soon shaping into reality to offer the 3 & 4BHK podium living opportunity to home enthusiasts. | Read more | ₹ | 1.37 Cr | ₹ | 3704 per sqft | Request Callback | Get Info | Builder: Propus Infracon"
"4 BHK Flat for Sale in Ashima The Sovereign, Thaltej, Ahmedabad",₹4.34 Cr,3187 sqft,4 BHK,N/A,Unfurnished,Builder,"Ashima The Sovereign, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,"ZERO BROKERAGE | 4 BHK Flat for Sale in Ashima The Sovereign, Thaltej, Ahmedabad | Ashima The Sovereign | Carpet Area | 3187 sqft | Under Construction | Poss. by Aug '29 | Transaction | New Property | Furnishing | Unfurnished | Society | Ashima The Sovereign | Car Parking | 3 Covered | Bathroom | 4 | The Sovereign Whisper with the Clouds Exclusively residential towers, 1.4 times taller than the Statue of Liberty, New York. 102 thoughtfully designed 4 & 5 BFHK apartments sprawled across 37 storeys. An elevated lifestyle brought into harmony through awe-inspiring vistas. Meticulously planned amenities to envelope you in a warm cocoon, making your apartment a home.... Features : 1.4 times taller than the Statue of Liberty, New York. | Read more | ₹ | 4.34 Cr | ₹ | 7221 per sqft | Request Callback | Get Info | Builder: Ashima Group"
"4 BHK Flat for Sale in AARON ELINOR 51, Science City, Ahmedabad",₹2.94 Cr,4608 sqft,4 BHK,N/A,Unfurnished,Agent,"AARON ELINOR 51, Science City, Ahmedabad",Ahmedabad,MagicBricks,"19 | + | Photos | Posted: Yesterday | 4 BHK Flat for Sale in AARON ELINOR 51, Science City, Ahmedabad | AARON ELINOR 51 | Super Area | 4608 sqft | Under Construction | Poss. by Jul '28 | Transaction | New Property | Furnishing | Unfurnished | Society | AARON ELINOR 51 | Bathroom | 4 | Balcony | 2 | Multistorey Apartment for Sale in Science City, Ahmedabad. Covered area is 4608.0 Sq-ft. This property belongs to ""AARON ELINOR 51"" . | View Property | Nearby | The Capital 2 | Sal Engineering And Technical Institute | S S Divine School | Motherhood Women's Child Care Hospital | Science Square Complex | Science City Bus Stand | ₹ | 2.94 Cr | ₹ | 6400 per sqft | Contact Agent | Enquire Now"
"4 BHK Flat for Sale in Satyamev Luxor, Ambli, Ahmedabad",₹3.04 Cr,2327 sqft,4 BHK,N/A,Unfurnished,Agent,"Satyamev Luxor, Ambli, Ahmedabad",Ahmedabad,MagicBricks,"6 | + | Photos | Posted: Yesterday | 4 BHK Flat for Sale in Satyamev Luxor, Ambli, Ahmedabad | Satyamev Luxor | Carpet Area | 2327 sqft | Under Construction | Poss. by Mar '29 | Transaction | New Property | Furnishing | Unfurnished | Society | Satyamev Luxor | Bathroom | 4 | Balcony | 2 | Multistorey Apartment for Sale in Ambli, Ahmedabad. Covered area is 4230.0 Sq-ft. This property belongs to ""Satyamev Luxor"" . | View Property | Nearby | One World West | Sanvi Surgical & Dental Hospital | Amrapali Shopping Mall, | DMart | ₹ | 3.04 Cr | ₹ | 7200 per sqft | Contact Agent | Enquire Now"
"4 BHK Flat for Sale in Super Shaligram, Gota, Ahmedabad",₹1.82 Cr,3445 sqft,4 BHK,N/A,Unfurnished,Agent,"Super Shaligram, Gota, Ahmedabad",Ahmedabad,MagicBricks,"16 | + | Photos | Posted: Nov 21, '25 | 4 BHK Flat for Sale in Super Shaligram, Gota, Ahmedabad | Super Shaligram | Super Area | 3445 sqft | Under Construction | Poss. by Mar '29 | Transaction | New Property | Furnishing | Unfurnished | Society | Super Shaligram | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Gota, Ahmedabad. Covered area is 3445.0 Sq-ft. This property belongs to ""Super Shaligram"" . | View Property | Nearby | shree radhe super market | Central Point | Apollo International School | Silver Oak College Of Engineering And Technology | Sunrise Hospital | Vedant Multispeciality Hospital | Melady Estate | Shreeji Mall | Vandematram Arcade | ₹ | 1.82 Cr | ₹ | 5300 per sqft | Contact Agent | Enquire Now"
"3 BHK Flat for Sale in Serenity Shivam, South Bopal, Bopal, Ahmedabad",₹71.8 Lac,1795 sqft,3 BHK,N/A,Unfurnished,Agent,"Serenity Shivam, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,"4 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Serenity Shivam, South Bopal, Bopal, Ahmedabad | Serenity Shivam | Super Area | 1795 sqft | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Serenity Shivam | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in South Bopal, Ahmedabad. Covered area is 1795.0 Sq-ft. This property belongs to ""Serenity Shivam"" . | View Property | Nearby | Green Grocers | Parul Institute of Applied Sciences and Research | Galaxy Hospital - Multispeciality Hospital | Aaradhya Complex | Daffodils Plaza | ₹ | 71.8 Lac | ₹ | 4000 per sqft | Contact Agent | Enquire Now"
"2 BHK Flat for Sale in Om The Green Parmeshwar, Jagatpur, Ahmedabad",₹68 Lac,1458 sqft,2 BHK,N/A,Unfurnished,Agent,"Om The Green Parmeshwar, Jagatpur, Ahmedabad",Ahmedabad,MagicBricks,"20 | + | Photos | Posted: Nov 23, '25 | 2 BHK Flat for Sale in Om The Green Parmeshwar, Jagatpur, Ahmedabad | Om The Green Parmeshwar | Super Area | 1458 sqft | Under Construction | Poss. by Dec '28 | Transaction | New Property | Furnishing | Unfurnished | Society | Om The Green Parmeshwar | Bathroom | 2 | Balcony | 1 | Multistorey Apartment for Sale in Jagatpur, Ahmedabad. Covered area is 1458.0 Sq-ft. This property belongs to ""The Green Parmeshwar"" . | View Property | Nearby | Global Indian International School | ₹ | 68 Lac | ₹ | 4667 per sqft | Contact Agent | Enquire Now"
"4 BHK Flat for Sale in Siddharth Vrundavan, Jagatpur, Ahmedabad",₹1.75 Cr,3584 sqft,4 BHK,N/A,Unfurnished,Agent,"Siddharth Vrundavan, Jagatpur, Ahmedabad",Ahmedabad,MagicBricks,"18 | + | Photos | Posted: Nov 22, '25 | 4 BHK Flat for Sale in Siddharth Vrundavan, Jagatpur, Ahmedabad | Siddharth Vrundavan | Super Area | 3584 sqft | Under Construction | Poss. by Feb '28 | Transaction | New Property | Furnishing | Unfurnished | Society | Siddharth Vrundavan | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Jagatpur, Ahmedabad. Covered area is 3584.0 Sq-ft. This property belongs to ""Siddharth Vrundavan"" . | View Property | Nearby | Global Indian International School | ₹ | 1.75 Cr | ₹ | 4888 per sqft | Contact Agent | Enquire Now"
