Property_Title,Price_Lakhs,Area_SqFt,BHK,Bathrooms,Furnishing,Seller_Type,Locality,City,Source,Locality_Encoded,Furnishing_Encoded,Locality_Tier,Locality_Tier_Encoded,BHK_Tier_Interaction
"1 BHK Flat for Sale in Maninagar East, Maninagar, Ahmedabad",36.0,7500.0,1.0,1.0,Semi-Furnished,Owner,"Maninagar East, Maninagar, Ahmedabad",Ahmedabad,MagicBricks,502,1,Mid-Range,2,2.0
"2 BHK Flat for Sale in Nila Anaahata, Makarba, Ahmedabad",69.5,960.0,2.0,2.0,Furnished,Owner,"Nila Anaahata, Makarba, Ahmedabad",Ahmedabad,MagicBricks,575,0,Premium,3,6.0
"3 BHK Flat for Sale in Savvy Swaraj Phase 2, Jagatpur Road, Ahmedabad",1.2,1730.0,3.0,3.0,Furnished,Owner,"Savvy Swaraj Phase 2, Jagatpur Road, Ahmedabad",Ahmedabad,MagicBricks,845,0,Budget,0,0.0
"3 BHK Flat for Sale in Applewoods Sorrel Apartments, South Bopal, Bopal, Ahmedabad",82.0,1150.0,3.0,3.0,Unfurnished,Owner,"Applewoods Sorrel Apartments, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,98,2,Premium,3,9.0
"3 BHK Flat for Sale in Westend Park, Thaltej, Ahmedabad",90.0,1250.0,3.0,3.0,Unfurnished,Owner,"Westend Park, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,1199,2,Premium,3,9.0
"2 BHK Flat for Sale in Vatva, Ahmedabad",45.0,900.0,2.0,2.0,Furnished,Owner,"Vatva, Ahmedabad",Ahmedabad,MagicBricks,1163,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Vandemataram Crosswind, Gota, Ahmedabad",65.0,1242.0,2.0,2.0,Furnished,Agent,"Vandemataram Crosswind, Gota, Ahmedabad",Ahmedabad,MagicBricks,1147,0,Premium,3,6.0
"4 BHK Flat for Sale in Goyal Riviera Prestige, Makarba, Ahmedabad",1.8,3611.0,4.0,3.0,Unfurnished,Agent,"Goyal Riviera Prestige, Makarba, Ahmedabad",Ahmedabad,MagicBricks,338,2,Budget,0,0.0
"2 BHK Flat for Sale in Zaveri Greens, Ghuma, Ahmedabad",58.0,687.0,2.0,2.0,Unfurnished,Owner,"Zaveri Greens, Ghuma, Ahmedabad",Ahmedabad,MagicBricks,1210,2,High-End,1,2.0
"3 BHK Flat for Sale in Siddhi Aarohi Elegance, South Bopal, Bopal, Ahmedabad",9.5,1435.0,3.0,3.0,Semi-Furnished,Owner,"Siddhi Aarohi Elegance, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,1000,1,Mid-Range,2,6.0
"2 BHK Flat for Sale in Parshwanath Atlantis Park, Sughad, Ahmedabad",46.5,1179.0,2.0,2.0,Furnished,Owner,"Parshwanath Atlantis Park, Sughad, Ahmedabad",Ahmedabad,MagicBricks,629,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Airan Shela 24, Shela, Ahmedabad",56.0,5200.0,2.0,2.0,Unfurnished,Owner,"Airan Shela 24, Shela, Ahmedabad",Ahmedabad,MagicBricks,67,2,High-End,1,2.0
"3 BHK Flat for Sale in Swastik Rise, South Bopal, Bopal, Ahmedabad",1.1,1100.0,3.0,3.0,Furnished,Agent,"Swastik Rise, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,1089,0,Budget,0,0.0
"2 BHK Flat for Sale in Gandhi Infra Vraj Residency, Gota, Ahmedabad",67.0,1305.0,2.0,2.0,Furnished,Owner,"Gandhi Infra Vraj Residency, Gota, Ahmedabad",Ahmedabad,MagicBricks,286,0,Premium,3,6.0
1 BHK Flat for Sale in Ahmedabad,28.0,4000.0,1.0,1.0,Semi-Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,1,Mid-Range,2,2.0
"2 BHK Flat for Sale in Maninagar, Ahmedabad",70.0,116.0,2.0,2.0,Semi-Furnished,Owner,"Maninagar, Ahmedabad",Ahmedabad,MagicBricks,504,1,High-End,1,2.0
"3 BHK Flat for Sale in Indraprasth Greens, Satellite, Ahmedabad",1.99,1017.0,3.0,3.0,Semi-Furnished,Agent,"Indraprasth Greens, Satellite, Ahmedabad",Ahmedabad,MagicBricks,384,1,Budget,0,0.0
"2 BHK Flat for Sale in Orchid Valley, Bhavya Park, Ahmedabad",51.0,125.0,2.0,2.0,Semi-Furnished,Owner,"Orchid Valley, Bhavya Park, Ahmedabad",Ahmedabad,MagicBricks,606,1,High-End,1,2.0
"2 BHK Flat for Sale in Kaveri Trisara A.Shridhar, Shilaj, Ahmedabad",67.0,1285.0,2.0,2.0,Furnished,Owner,"Kaveri Trisara A.Shridhar, Shilaj, Ahmedabad",Ahmedabad,MagicBricks,431,0,Premium,3,6.0
"1 BHK Flat for Sale in Swaminarayan Park III, Vasna, Ahmedabad",32.5,480.0,1.0,1.0,Semi-Furnished,Owner,"Swaminarayan Park Iii, Vasna, Ahmedabad",Ahmedabad,MagicBricks,1080,1,Mid-Range,2,2.0
"2 BHK Flat for Sale in Vrundavan Vatika, Vastral, Ahmedabad",40.0,120.0,2.0,2.0,Furnished,Owner,"Vrundavan Vatika, Vastral, Ahmedabad",Ahmedabad,MagicBricks,1196,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Krishna Heights, Gota, Ahmedabad",60.0,810.0,2.0,2.0,Unfurnished,Owner,"Krishna Heights, Gota, Ahmedabad",Ahmedabad,MagicBricks,456,2,High-End,1,2.0
"1 BHK Flat for Sale in Memnagar, Ahmedabad",38.0,6800.0,1.0,1.0,Semi-Furnished,Owner,"Memnagar, Ahmedabad",Ahmedabad,MagicBricks,522,1,Premium,3,3.0
"3 BHK Flat for Sale in Shree Rudransh Siddhivinayak Prospera, Ahmedabad",75.0,1350.0,3.0,3.0,Unfurnished,Owner,"Shree Rudransh Siddhivinayak Prospera, Ahmedabad",Ahmedabad,MagicBricks,943,2,Premium,3,9.0
2 BHK Flat for Sale in Ahmedabad,61.0,900.0,2.0,2.0,Furnished,Agent,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,4.0
"2 BHK Flat for Sale in Shivam Appartment, Ahmedabad",50.0,8000.0,2.0,2.0,Furnished,Owner,"Shivam Appartment, Ahmedabad",Ahmedabad,MagicBricks,920,0,High-End,1,2.0
"1 BHK Flat for Sale in Maninagar East, Maninagar, Ahmedabad",23.0,6500.0,1.0,1.0,Unfurnished,Owner,"Maninagar East, Maninagar, Ahmedabad",Ahmedabad,MagicBricks,502,2,Mid-Range,2,2.0
"3 BHK Flat for Sale in Shubh Aashish, Paldi, Ahmedabad",1.5,2200.0,3.0,3.0,Unfurnished,Owner,"Shubh Aashish, Paldi, Ahmedabad",Ahmedabad,MagicBricks,967,2,Budget,0,0.0
"2 BHK Flat for Sale in Vasna Road, Ahmedabad",55.0,950.0,2.0,2.0,Semi-Furnished,Owner,"Vasna Road, Ahmedabad",Ahmedabad,MagicBricks,1157,1,High-End,1,2.0
"2 BHK Flat for Sale in Ashutosh Residency, Keshav Nagar, Ahmedabad",55.0,128.0,2.0,2.0,Furnished,Owner,"Ashutosh Residency, Keshav Nagar, Ahmedabad",Ahmedabad,MagicBricks,135,0,High-End,1,2.0
"2 BHK Flat for Sale in New Maninagar, Ahmedabad",40.0,693.0,2.0,2.0,Furnished,Owner,"New Maninagar, Ahmedabad",Ahmedabad,MagicBricks,567,0,Mid-Range,2,4.0
"3 BHK Flat for Sale in Palm Glory III, Chandkheda, Ahmedabad",1.01,1908.0,3.0,3.0,Semi-Furnished,Owner,"Palm Glory Iii, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,615,1,High-End,1,3.0
"2 BHK Flat for Sale in Motera, Ahmedabad",70.0,1170.0,2.0,2.0,Semi-Furnished,Owner,"Motera, Ahmedabad",Ahmedabad,MagicBricks,529,1,High-End,1,2.0
3 BHK Flat for Sale in Ahmedabad,65.0,7200.0,3.0,3.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,6.0
"2 BHK Flat for Sale in Nikol Naroda Road, Ahmedabad",51.0,860.0,2.0,2.0,Semi-Furnished,Owner,"Nikol Naroda Road, Ahmedabad",Ahmedabad,MagicBricks,572,1,High-End,1,2.0
"3 BHK Flat for Sale in Shypram, South Bopal, Bopal, Ahmedabad",51.0,1485.0,3.0,3.0,Unfurnished,Owner,"Shypram, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,997,2,High-End,1,3.0
"3 BHK Flat for Sale in Ratnamani Trident Elanzza, Khodiyar, Ahmedabad",70.0,800.0,3.0,3.0,Semi-Furnished,Owner,"Ratnamani Trident Elanzza, Khodiyar, Ahmedabad",Ahmedabad,MagicBricks,709,1,Premium,3,9.0
"2 BHK Flat for Sale in Aqua Polaris, Sardar Patel Ring Road, Ahmedabad",41.0,1098.0,2.0,2.0,Unknown,Owner,"Aqua Polaris, Sardar Patel Ring Road, Ahmedabad",Ahmedabad,MagicBricks,99,3,Mid-Range,2,4.0
"2 BHK Flat for Sale in Aakruti Township, Narolgam, Ahmedabad",17.5,105.0,2.0,2.0,Unfurnished,Owner,"Aakruti Township, Narolgam, Ahmedabad",Ahmedabad,MagicBricks,14,2,Mid-Range,2,4.0
"1 BHK Flat for Sale in Riverside Park, Vasna, Ahmedabad",3.0,80.0,1.0,1.0,Unfurnished,Owner,"Riverside Park, Vasna, Ahmedabad",Ahmedabad,MagicBricks,716,2,High-End,1,1.0
"3 BHK Flat for Sale in R Sharan Sanidhya Skyros, Gota, Ahmedabad",95.0,1746.0,3.0,3.0,Furnished,Owner,"R Sharan Sanidhya Skyros, Gota, Ahmedabad",Ahmedabad,MagicBricks,673,0,Premium,3,9.0
"3 BHK Flat for Sale in Aashray Aurum, Ambli, Ahmedabad",95.0,912.0,3.0,3.0,Unfurnished,Owner,"Aashray Aurum, Ambli, Ahmedabad",Ahmedabad,MagicBricks,32,2,High-End,1,3.0
"2 BHK Flat for Sale in Khokhra, Ahmedabad",60.0,781.0,2.0,2.0,Unfurnished,Owner,"Khokhra, Ahmedabad",Ahmedabad,MagicBricks,445,2,High-End,1,2.0
"3 BHK Flat for Sale in Abhilasha Square, Nikol, Ahmedabad",95.0,1044.0,3.0,3.0,Furnished,Owner,"Abhilasha Square, Nikol, Ahmedabad",Ahmedabad,MagicBricks,41,0,Premium,3,9.0
"1 BHK Flat for Sale in Uttamnagar Maninagar, Ahmedabad",20.0,3900.0,1.0,1.0,Semi-Furnished,Owner,"Uttamnagar Maninagar, Ahmedabad",Ahmedabad,MagicBricks,1142,1,Mid-Range,2,2.0
"Apartment for Sale in Zundal, Ahmedabad",45.0,1200.0,3.0,3.0,Unknown,Owner,"Zundal, Ahmedabad",Ahmedabad,MagicBricks,1215,3,Premium,3,9.0
"3 BHK Flat for Sale in Milan Karnavati 4, Vatva, Ahmedabad",45.0,1260.0,3.0,3.0,Semi-Furnished,Owner,"Milan Karnavati 4, Vatva, Ahmedabad",Ahmedabad,MagicBricks,525,1,High-End,1,3.0
"3 BHK Flat for Sale in Sardarnagar, Ahmedabad",65.0,1580.0,3.0,3.0,Unfurnished,Owner,"Sardarnagar, Ahmedabad",Ahmedabad,MagicBricks,813,2,Mid-Range,2,6.0
"3 BHK Flat for Sale in Palm Glory III, Chandkheda, Ahmedabad",64.0,1836.0,3.0,3.0,Unfurnished,Owner,"Palm Glory Iii, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,615,2,High-End,1,3.0
"3 BHK Flat for Sale in Amara By Pacifica, Sanathal, Ahmedabad",65.0,808.0,3.0,3.0,Unfurnished,Owner,"Amara By Pacifica, Sanathal, Ahmedabad",Ahmedabad,MagicBricks,75,2,Premium,3,9.0
"2 BHK Flat for Sale in Chandlodiya, Ahmedabad",54.0,501.0,2.0,2.0,Unfurnished,Owner,"Chandlodiya, Ahmedabad",Ahmedabad,MagicBricks,194,2,High-End,1,2.0
"3 BHK Flat for Sale in HN Safal Marigold, South Bopal, Bopal, Ahmedabad",72.0,825.0,3.0,3.0,Semi-Furnished,Owner,"Hn Safal Marigold, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,370,1,Premium,3,9.0
"2 BHK Flat for Sale in Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",60.0,1200.0,2.0,2.0,Unfurnished,Owner,"Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",Ahmedabad,MagicBricks,846,2,Premium,3,6.0
3 BHK Flat for Sale in Ahmedabad,2.5,240.0,3.0,3.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,6.0
"4 BHK Flat for Sale in Sheth Serenita, Ellisbridge, Ahmedabad",2.05,1950.0,4.0,3.0,Unfurnished,Owner,"Sheth Serenita, Ellisbridge, Ahmedabad",Ahmedabad,MagicBricks,896,2,Budget,0,0.0
"4 BHK Flat for Sale in Sharanya Skyvue, Thaltej, Ahmedabad",3.0,1925.0,4.0,3.0,Unfurnished,Owner,"Sharanya Skyvue, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,886,2,Budget,0,0.0
"4 BHK Flat for Sale in Shivam Rajvi Opal, Naranpura, Ahmedabad",1.68,1444.0,4.0,3.0,Unfurnished,Agent,"Shivam Rajvi Opal, Naranpura, Ahmedabad",Ahmedabad,MagicBricks,922,2,Budget,0,0.0
"2 BHK Flat for Sale in Ganesh Genesis, Sarkhej Gandhinagar Highway, Ahmedabad",48.0,1260.0,2.0,2.0,Semi-Furnished,Owner,"Ganesh Genesis, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks,287,1,High-End,1,2.0
"4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad",1.56,1660.0,4.0,3.0,Unfurnished,Owner,"The Regal, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,1115,2,Budget,0,0.0
"3 BHK Flat for Sale in Jagatpur, Ahmedabad",1.34,1198.0,3.0,3.0,Unfurnished,Owner,"Jagatpur, Ahmedabad",Ahmedabad,MagicBricks,392,2,Mid-Range,2,6.0
"3 BHK Flat for Sale in Saanvi Nirman Stellar, Ghuma, Ahmedabad",85.0,1700.0,3.0,3.0,Unfurnished,Agent,"Saanvi Nirman Stellar, Ghuma, Ahmedabad",Ahmedabad,MagicBricks,738,2,Premium,3,9.0
"2 BHK Flat for Sale in Anand Nagar Prahlad Nagar, Ahmedabad",68.0,1200.0,2.0,2.0,Furnished,Owner,"Anand Nagar Prahlad Nagar, Ahmedabad",Ahmedabad,MagicBricks,86,0,Premium,3,6.0
"2 BHK Flat for Sale in Eden Godrej Garden city, Sarkhej Gandhinagar Highway, Ahmedabad",53.0,1100.0,2.0,2.0,Unfurnished,Owner,"Eden Godrej Garden City, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks,253,2,High-End,1,2.0
"2 BHK Flat for Sale in Gala Glory, South Bopal, Bopal, Ahmedabad",57.0,750.0,2.0,2.0,Semi-Furnished,Owner,"Gala Glory, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,275,1,High-End,1,2.0
"2 BHK Flat for Sale in Memnagar, Ahmedabad",65.0,1100.0,2.0,2.0,Furnished,Owner,"Memnagar, Ahmedabad",Ahmedabad,MagicBricks,522,0,Premium,3,6.0
1 BHK Flat for Sale in Ahmedabad,32.0,6100.0,1.0,1.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks,66,0,Mid-Range,2,2.0
"2 BHK Flat for Sale in Hari Om Elegance, Bopal, Ahmedabad",35.0,708.0,2.0,2.0,Unfurnished,Owner,"Hari Om Elegance, Bopal, Ahmedabad",Ahmedabad,MagicBricks,358,2,Mid-Range,2,4.0
"2 BHK Flat for Sale in Vastral, Ahmedabad",47.0,1070.0,2.0,2.0,Semi-Furnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks,1159,1,Mid-Range,2,4.0
"3 BHK Flat for Sale in Maharaj Sarang Elegance, Sarkhej Gandhinagar Highway, Ahmedabad",85.0,860.0,3.0,3.0,Furnished,Owner,"Maharaj Sarang Elegance, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks,489,0,Premium,3,9.0
"2 BHK Flat for Sale in 100 Feet Road, Ahmedabad",47.5,1008.0,2.0,2.0,Furnished,Owner,"100 Feet Road, Ahmedabad",Ahmedabad,MagicBricks,0,0,High-End,1,2.0
"3 BHK Flat for Sale in Shree Radhe Krishna Status, Vastral, Ahmedabad",68.0,1050.0,3.0,3.0,Unfurnished,Owner,"Shree Radhe Krishna Status, Vastral, Ahmedabad",Ahmedabad,MagicBricks,940,2,Premium,3,9.0
"1 BHK Flat for Sale in Khadia, Ahmedabad",15.0,6500.0,1.0,1.0,Unfurnished,Owner,"Khadia, Ahmedabad",Ahmedabad,MagicBricks,442,2,Mid-Range,2,2.0
"2 BHK Flat for Sale in Basil Skyline, Tragad, Ahmedabad",57.0,136.0,2.0,2.0,Unfurnished,Owner,"Basil Skyline, Tragad, Ahmedabad",Ahmedabad,MagicBricks,163,2,High-End,1,2.0
"3 BHK Flat for Sale in Punit Maharaj Road, Ahmedabad",1.05,105.0,3.0,3.0,Furnished,Owner,"Punit Maharaj Road, Ahmedabad",Ahmedabad,MagicBricks,668,0,Budget,0,0.0
"2 BHK Flat for Sale in New Maninagar, Ahmedabad",28.0,580.0,2.0,2.0,Semi-Furnished,Owner,"New Maninagar, Ahmedabad",Ahmedabad,MagicBricks,567,1,Mid-Range,2,4.0
"3 BHK Flat for Sale in Sachin Towers, Satellite, Ahmedabad",80.0,130.0,3.0,3.0,Semi-Furnished,Owner,"Sachin Towers, Satellite, Ahmedabad",Ahmedabad,MagicBricks,744,1,Premium,3,9.0
"3 BHK Flat for Sale in Tulsi Shyam Saanvi, Chandkheda, Ahmedabad",88.0,1890.0,3.0,3.0,Unfurnished,Owner,"Tulsi Shyam Saanvi, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks,1124,2,High-End,1,3.0
"2 BHK Flat for Sale in Malabar Retreat, Ahmedabad",65.0,950.0,2.0,2.0,Furnished,Owner,"Malabar Retreat, Ahmedabad",Ahmedabad,MagicBricks,496,0,Premium,3,6.0
"2 BHK Flat for Sale in Vastral, Ahmedabad",60.0,158.0,2.0,2.0,Unfurnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks,1159,2,Mid-Range,2,4.0
"1 BHK Flat for Sale in Platinum Elegance, Vinzol, Ahmedabad",20.0,531.0,1.0,1.0,Semi-Furnished,Owner,"Platinum Elegance, Vinzol, Ahmedabad",Ahmedabad,MagicBricks,639,1,Mid-Range,2,2.0
"4 BHK Flat for Sale in Rajyash Regius, Bopal, Ahmedabad",2.67,3845.0,4.0,3.0,Unfurnished,Agent,"Rajyash Regius, Bopal, Ahmedabad",Ahmedabad,MagicBricks,692,2,Budget,0,0.0
"3 BHK Flat for Sale in Sundar Nagar, Ahmedabad",95.0,1215.0,3.0,3.0,Furnished,Agent,"Sundar Nagar, Ahmedabad",Ahmedabad,MagicBricks,1061,0,Premium,3,9.0
"2 BHK Flat for Sale in Maruti Shrishti, New G Ward, Ahmedabad",21.0,140.0,2.0,2.0,Semi-Furnished,Owner,"Maruti Shrishti, New G Ward, Ahmedabad",Ahmedabad,MagicBricks,515,1,Mid-Range,2,4.0
"4 BHK Flat for Sale in Unique Aashiyana, Gota, Ahmedabad",1.45,270.0,4.0,3.0,Furnished,Owner,"Unique Aashiyana, Gota, Ahmedabad",Ahmedabad,MagicBricks,1134,0,Budget,0,0.0
"2 BHK Flat for Sale in Nilkanth Shyam Enclave, Nava Naroda, Ahmedabad",58.5,1500.0,2.0,2.0,Semi-Furnished,Owner,"Nilkanth Shyam Enclave, Nava Naroda, Ahmedabad",Ahmedabad,MagicBricks,578,1,High-End,1,2.0
"2 BHK Flat for Sale in Adani Shantigram, Vaishnodevi Circle, Ahmedabad",75.0,1080.0,2.0,2.0,Furnished,Owner,"Adani Shantigram, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,56,0,Premium,3,6.0
"2 BHK Flat for Sale in RajYash Sahaj Solarium 2, Vasna, Ahmedabad",60.0,675.0,2.0,2.0,Unfurnished,Owner,"Rajyash Sahaj Solarium 2, Vasna, Ahmedabad",Ahmedabad,MagicBricks,695,2,High-End,1,2.0
"2 BHK Flat for Sale in Narolgam, Ahmedabad",41.0,466.0,2.0,2.0,Furnished,Owner,"Narolgam, Ahmedabad",Ahmedabad,MagicBricks,550,0,Mid-Range,2,4.0
"3 BHK Flat for Sale in Bodakdev, Ahmedabad",1.0,1800.0,3.0,3.0,Semi-Furnished,Owner,"Bodakdev, Ahmedabad",Ahmedabad,MagicBricks,184,1,Budget,0,0.0
"3 BHK Flat for Sale in Dhanani Raj Mahal, Nikol, Ahmedabad",80.0,153.0,3.0,3.0,Unfurnished,Owner,"Dhanani Raj Mahal, Nikol, Ahmedabad",Ahmedabad,MagicBricks,232,2,Premium,3,9.0
"4 BHK Flat for Sale in HR Eliseo, Shela, Ahmedabad",2.75,5350.0,4.0,3.0,Unfurnished,Owner,"Hr Eliseo, Shela, Ahmedabad",Ahmedabad,MagicBricks,375,2,Budget,0,0.0
"2 BHK Flat for Sale in Samay Shine, Shela, Ahmedabad",39.6,1200.0,2.0,2.0,Unfurnished,Owner,"Samay Shine, Shela, Ahmedabad",Ahmedabad,MagicBricks,771,2,Mid-Range,2,4.0
"2 BHK Flat for Sale in Aaryan City Phase1, Gota, Ahmedabad",65.5,914.0,2.0,2.0,Furnished,Owner,"Aaryan City Phase1, Gota, Ahmedabad",Ahmedabad,MagicBricks,24,0,Premium,3,6.0
"2 BHK Flat for Sale in Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",46.0,1027.0,2.0,2.0,Unfurnished,Owner,"Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",Ahmedabad,MagicBricks,753,2,High-End,1,2.0
"5 BHK Flat for Sale in Kankaria, Ahmedabad",90.0,2232.0,5.0,3.0,Furnished,Owner,"Kankaria, Ahmedabad",Ahmedabad,MagicBricks,420,0,Premium,3,15.0
"2 BHK Flat for Sale in Hiloni 444, Naroda, Ahmedabad",42.0,1080.0,2.0,2.0,Furnished,Owner,"Hiloni 444, Naroda, Ahmedabad",Ahmedabad,MagicBricks,364,0,Mid-Range,2,4.0
"3 BHK Flat for Sale in Adani The Meadows, Shantigram, Ahmedabad",1.65,1815.0,3.0,3.0,Furnished,Owner,"Adani The Meadows, Shantigram, Ahmedabad",Ahmedabad,MagicBricks,58,0,Budget,0,0.0
"2 BHK Flat for Sale in Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",48.0,850.0,2.0,2.0,Furnished,Owner,"Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",Ahmedabad,MagicBricks,239,0,High-End,1,2.0
"3 BHK Flat for Sale in Amogha by Adani Realty, Vaishnodevi Circle, Ahmedabad",89.0,826.0,3.0,3.0,Semi-Furnished,Owner,"Amogha By Adani Realty, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,80,1,Premium,3,9.0
"2 BHK Flat for Sale in Aastha Prime, Zundal, Ahmedabad",41.0,109.0,2.0,2.0,Semi-Furnished,Owner,"Aastha Prime, Zundal, Ahmedabad",Ahmedabad,MagicBricks,33,1,Mid-Range,2,4.0
"3 BHK Flat for Sale in Safal Riviera Aspire, Shela, Ahmedabad",1.76,1507.0,3.0,3.0,Unfurnished,Owner,"Safal Riviera Aspire, Shela, Ahmedabad",Ahmedabad,MagicBricks,755,2,Budget,0,0.0
"4 BHK Flat for Sale in Sanghavi Manor Ananda, Iscon Ambli Road, Ahmedabad",3.11,2035.0,4.0,3.0,Unfurnished,Owner,"Sanghavi Manor Ananda, Iscon Ambli Road, Ahmedabad",Ahmedabad,MagicBricks,786,2,Budget,0,0.0
"3 BHK Flat for Sale in Gala Eternia, Thaltej, Ahmedabad",1.5,1745.0,3.0,3.0,Semi-Furnished,Owner,"Gala Eternia, Thaltej, Ahmedabad",Ahmedabad,MagicBricks,274,1,Budget,0,0.0
"2 BHK Flat for Sale in Vraj Dham IV, Ghatlodiya, Ahmedabad",49.0,8500.0,2.0,2.0,Furnished,Owner,"Vraj Dham Iv, Ghatlodiya, Ahmedabad",Ahmedabad,MagicBricks,1190,0,High-End,1,2.0
"3 BHK Flat for Sale in Sun Parkwest, Shela, Ahmedabad",63.8,870.0,3.0,3.0,Unfurnished,Agent,"Sun Parkwest, Shela, Ahmedabad",Ahmedabad,MagicBricks,1053,2,High-End,1,3.0
"3 BHK Flat for Sale in Keshav Nagar, Ahmedabad",45.0,1000.0,3.0,3.0,Semi-Furnished,Owner,"Keshav Nagar, Ahmedabad",Ahmedabad,MagicBricks,440,1,High-End,1,3.0
"1 BHK Flat for Sale in Vastral, Ahmedabad",32.0,91.0,1.0,1.0,Furnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks,1159,0,Mid-Range,2,2.0
