Property_Title,Price_Lakhs,Area_SqFt,BHK,Bathrooms,Furnishing,Seller_Type,Locality,City,Source
"2 BHK Flat for Sale in Airan Shela 24, Shela, Ahmedabad",5600.0,5200.0,2.0,2.0,Unfurnished,Owner,"Airan Shela 24, Shela, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Swastik Rise, South Bopal, Bopal, Ahmedabad",110.0,1100.0,3.0,3.0,Furnished,Agent,"Swastik Rise, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Gandhi Infra Vraj Residency, Gota, Ahmedabad",6700.0,1305.0,2.0,2.0,Furnished,Owner,"Gandhi Infra Vraj Residency, Gota, Ahmedabad",Ahmedabad,MagicBricks
1 BHK Flat for Sale in Ahmedabad,2800.0,4000.0,1.0,1.0,Semi-Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Maninagar, Ahmedabad",7000.0,116.0,2.0,2.0,Semi-Furnished,Owner,"Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Indraprasth Greens, Satellite, Ahmedabad",199.0,1017.0,3.0,3.0,Semi-Furnished,Agent,"Indraprasth Greens, Satellite, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Orchid Valley, Bhavya Park, Ahmedabad",5100.0,125.0,2.0,2.0,Semi-Furnished,Owner,"Orchid Valley, Bhavya Park, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Kaveri Trisara A.Shridhar, Shilaj, Ahmedabad",6700.0,1285.0,2.0,2.0,Furnished,Owner,"Kaveri Trisara A.Shridhar, Shilaj, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Swaminarayan Park III, Vasna, Ahmedabad",3250.0,480.0,1.0,1.0,Semi-Furnished,Owner,"Swaminarayan Park Iii, Vasna, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vrundavan Vatika, Vastral, Ahmedabad",4000.0,120.0,2.0,2.0,Furnished,Owner,"Vrundavan Vatika, Vastral, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Krishna Heights, Gota, Ahmedabad",6000.0,810.0,2.0,2.0,Unfurnished,Owner,"Krishna Heights, Gota, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Memnagar, Ahmedabad",3800.0,6800.0,1.0,1.0,Semi-Furnished,Owner,"Memnagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Shree Rudransh Siddhivinayak Prospera, Ahmedabad",7500.0,1350.0,3.0,3.0,Unfurnished,Owner,"Shree Rudransh Siddhivinayak Prospera, Ahmedabad",Ahmedabad,MagicBricks
2 BHK Flat for Sale in Ahmedabad,6100.0,900.0,2.0,2.0,Furnished,Agent,Ahmedabad,Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Shivam Appartment, Ahmedabad",5000.0,8000.0,2.0,2.0,Furnished,Owner,"Shivam Appartment, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Maninagar East, Maninagar, Ahmedabad",2300.0,6500.0,1.0,1.0,Unfurnished,Owner,"Maninagar East, Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Shubh Aashish, Paldi, Ahmedabad",150.0,2200.0,3.0,3.0,Unfurnished,Owner,"Shubh Aashish, Paldi, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vasna Road, Ahmedabad",5500.0,950.0,2.0,2.0,Semi-Furnished,Owner,"Vasna Road, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Ashutosh Residency, Keshav Nagar, Ahmedabad",5500.0,128.0,2.0,2.0,Furnished,Owner,"Ashutosh Residency, Keshav Nagar, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in New Maninagar, Ahmedabad",4000.0,693.0,2.0,2.0,Furnished,Owner,"New Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Palm Glory III, Chandkheda, Ahmedabad",101.0,1908.0,3.0,3.0,Semi-Furnished,Owner,"Palm Glory Iii, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Motera, Ahmedabad",7000.0,1170.0,2.0,2.0,Semi-Furnished,Owner,"Motera, Ahmedabad",Ahmedabad,MagicBricks
3 BHK Flat for Sale in Ahmedabad,6500.0,7200.0,3.0,3.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Nikol Naroda Road, Ahmedabad",5100.0,860.0,2.0,2.0,Semi-Furnished,Owner,"Nikol Naroda Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Shypram, South Bopal, Bopal, Ahmedabad",5100.0,1485.0,3.0,3.0,Unfurnished,Owner,"Shypram, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Ratnamani Trident Elanzza, Khodiyar, Ahmedabad",7000.0,800.0,3.0,3.0,Semi-Furnished,Owner,"Ratnamani Trident Elanzza, Khodiyar, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Aqua Polaris, Sardar Patel Ring Road, Ahmedabad",4100.0,1098.0,2.0,2.0,Unknown,Owner,"Aqua Polaris, Sardar Patel Ring Road, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Aakruti Township, Narolgam, Ahmedabad",1750.0,105.0,2.0,2.0,Unfurnished,Owner,"Aakruti Township, Narolgam, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Riverside Park, Vasna, Ahmedabad",300.0,80.0,1.0,1.0,Unfurnished,Owner,"Riverside Park, Vasna, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in R Sharan Sanidhya Skyros, Gota, Ahmedabad",9500.0,1746.0,3.0,3.0,Furnished,Owner,"R Sharan Sanidhya Skyros, Gota, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Aashray Aurum, Ambli, Ahmedabad",9500.0,912.0,3.0,3.0,Unfurnished,Owner,"Aashray Aurum, Ambli, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Khokhra, Ahmedabad",6000.0,781.0,2.0,2.0,Unfurnished,Owner,"Khokhra, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Abhilasha Square, Nikol, Ahmedabad",9500.0,1044.0,3.0,3.0,Furnished,Owner,"Abhilasha Square, Nikol, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Uttamnagar Maninagar, Ahmedabad",2000.0,3900.0,1.0,1.0,Semi-Furnished,Owner,"Uttamnagar Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"Apartment for Sale in Zundal, Ahmedabad",4500.0,1200.0,3.0,3.0,Unknown,Owner,"Zundal, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Milan Karnavati 4, Vatva, Ahmedabad",4500.0,1260.0,3.0,3.0,Semi-Furnished,Owner,"Milan Karnavati 4, Vatva, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Sardarnagar, Ahmedabad",6500.0,1580.0,3.0,3.0,Unfurnished,Owner,"Sardarnagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Palm Glory III, Chandkheda, Ahmedabad",6400.0,1836.0,3.0,3.0,Unfurnished,Owner,"Palm Glory Iii, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Amara By Pacifica, Sanathal, Ahmedabad",6500.0,808.0,3.0,3.0,Unfurnished,Owner,"Amara By Pacifica, Sanathal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Chandlodiya, Ahmedabad",5400.0,501.0,2.0,2.0,Unfurnished,Owner,"Chandlodiya, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in HN Safal Marigold, South Bopal, Bopal, Ahmedabad",7200.0,825.0,3.0,3.0,Semi-Furnished,Owner,"Hn Safal Marigold, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",6000.0,1200.0,2.0,2.0,Unfurnished,Owner,"Savvy Swaraj Phase 2, Jagatpur Village, Gota, Ahmedabad",Ahmedabad,MagicBricks
3 BHK Flat for Sale in Ahmedabad,250.0,240.0,3.0,3.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Sheth Serenita, Ellisbridge, Ahmedabad",205.0,1950.0,4.0,3.0,Unfurnished,Owner,"Sheth Serenita, Ellisbridge, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Sharanya Skyvue, Thaltej, Ahmedabad",300.0,1925.0,4.0,3.0,Unfurnished,Owner,"Sharanya Skyvue, Thaltej, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Shivam Rajvi Opal, Naranpura, Ahmedabad",168.0,1444.0,4.0,3.0,Unfurnished,Agent,"Shivam Rajvi Opal, Naranpura, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Ganesh Genesis, Sarkhej Gandhinagar Highway, Ahmedabad",4800.0,1260.0,2.0,2.0,Semi-Furnished,Owner,"Ganesh Genesis, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad",156.0,1660.0,4.0,3.0,Unfurnished,Owner,"The Regal, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Jagatpur, Ahmedabad",134.0,1198.0,3.0,3.0,Unfurnished,Owner,"Jagatpur, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Saanvi Nirman Stellar, Ghuma, Ahmedabad",8500.0,1700.0,3.0,3.0,Unfurnished,Agent,"Saanvi Nirman Stellar, Ghuma, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Anand Nagar Prahlad Nagar, Ahmedabad",6800.0,1200.0,2.0,2.0,Furnished,Owner,"Anand Nagar Prahlad Nagar, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Eden Godrej Garden city, Sarkhej Gandhinagar Highway, Ahmedabad",5300.0,1100.0,2.0,2.0,Unfurnished,Owner,"Eden Godrej Garden City, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Gala Glory, South Bopal, Bopal, Ahmedabad",5700.0,750.0,2.0,2.0,Semi-Furnished,Owner,"Gala Glory, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Memnagar, Ahmedabad",6500.0,1100.0,2.0,2.0,Furnished,Owner,"Memnagar, Ahmedabad",Ahmedabad,MagicBricks
1 BHK Flat for Sale in Ahmedabad,3200.0,6100.0,1.0,1.0,Furnished,Owner,Ahmedabad,Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Hari Om Elegance, Bopal, Ahmedabad",3500.0,708.0,2.0,2.0,Unfurnished,Owner,"Hari Om Elegance, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vastral, Ahmedabad",4700.0,1070.0,2.0,2.0,Semi-Furnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Maharaj Sarang Elegance, Sarkhej Gandhinagar Highway, Ahmedabad",8500.0,860.0,3.0,3.0,Furnished,Owner,"Maharaj Sarang Elegance, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in 100 Feet Road, Ahmedabad",4750.0,1008.0,2.0,2.0,Furnished,Owner,"100 Feet Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Shree Radhe Krishna Status, Vastral, Ahmedabad",6800.0,1050.0,3.0,3.0,Unfurnished,Owner,"Shree Radhe Krishna Status, Vastral, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Khadia, Ahmedabad",1500.0,6500.0,1.0,1.0,Unfurnished,Owner,"Khadia, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Basil Skyline, Tragad, Ahmedabad",5700.0,136.0,2.0,2.0,Unfurnished,Owner,"Basil Skyline, Tragad, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Punit Maharaj Road, Ahmedabad",105.0,105.0,3.0,3.0,Furnished,Owner,"Punit Maharaj Road, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in New Maninagar, Ahmedabad",2800.0,580.0,2.0,2.0,Semi-Furnished,Owner,"New Maninagar, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Sachin Towers, Satellite, Ahmedabad",8000.0,130.0,3.0,3.0,Semi-Furnished,Owner,"Sachin Towers, Satellite, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Tulsi Shyam Saanvi, Chandkheda, Ahmedabad",8800.0,1890.0,3.0,3.0,Unfurnished,Owner,"Tulsi Shyam Saanvi, Chandkheda, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Malabar Retreat, Ahmedabad",6500.0,950.0,2.0,2.0,Furnished,Owner,"Malabar Retreat, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vastral, Ahmedabad",6000.0,158.0,2.0,2.0,Unfurnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Platinum Elegance, Vinzol, Ahmedabad",2000.0,531.0,1.0,1.0,Semi-Furnished,Owner,"Platinum Elegance, Vinzol, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Rajyash Regius, Bopal, Ahmedabad",267.0,3845.0,4.0,3.0,Unfurnished,Agent,"Rajyash Regius, Bopal, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Sundar Nagar, Ahmedabad",9500.0,1215.0,3.0,3.0,Furnished,Agent,"Sundar Nagar, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Maruti Shrishti, New G Ward, Ahmedabad",2100.0,140.0,2.0,2.0,Semi-Furnished,Owner,"Maruti Shrishti, New G Ward, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Unique Aashiyana, Gota, Ahmedabad",145.0,270.0,4.0,3.0,Furnished,Owner,"Unique Aashiyana, Gota, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Nilkanth Shyam Enclave, Nava Naroda, Ahmedabad",5850.0,1500.0,2.0,2.0,Semi-Furnished,Owner,"Nilkanth Shyam Enclave, Nava Naroda, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Adani Shantigram, Vaishnodevi Circle, Ahmedabad",7500.0,1080.0,2.0,2.0,Furnished,Owner,"Adani Shantigram, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in RajYash Sahaj Solarium 2, Vasna, Ahmedabad",6000.0,675.0,2.0,2.0,Unfurnished,Owner,"Rajyash Sahaj Solarium 2, Vasna, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Narolgam, Ahmedabad",4100.0,466.0,2.0,2.0,Furnished,Owner,"Narolgam, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Bodakdev, Ahmedabad",100.0,1800.0,3.0,3.0,Semi-Furnished,Owner,"Bodakdev, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Dhanani Raj Mahal, Nikol, Ahmedabad",8000.0,153.0,3.0,3.0,Unfurnished,Owner,"Dhanani Raj Mahal, Nikol, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in HR Eliseo, Shela, Ahmedabad",275.0,5350.0,4.0,3.0,Unfurnished,Owner,"Hr Eliseo, Shela, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Samay Shine, Shela, Ahmedabad",3960.0,1200.0,2.0,2.0,Unfurnished,Owner,"Samay Shine, Shela, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Aaryan City Phase1, Gota, Ahmedabad",6550.0,914.0,2.0,2.0,Furnished,Owner,"Aaryan City Phase1, Gota, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",4600.0,1027.0,2.0,2.0,Unfurnished,Owner,"Safal Parishkaar, Maningar East, Khokhra, Ahmedabad",Ahmedabad,MagicBricks
"5 BHK Flat for Sale in Kankaria, Ahmedabad",9000.0,2232.0,5.0,3.0,Furnished,Owner,"Kankaria, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Hiloni 444, Naroda, Ahmedabad",4200.0,1080.0,2.0,2.0,Furnished,Owner,"Hiloni 444, Naroda, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Adani The Meadows, Shantigram, Ahmedabad",165.0,1815.0,3.0,3.0,Furnished,Owner,"Adani The Meadows, Shantigram, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",4800.0,850.0,2.0,2.0,Furnished,Owner,"Dharmadev Swaminarayan Park 2, Vasna, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Amogha by Adani Realty, Vaishnodevi Circle, Ahmedabad",8900.0,826.0,3.0,3.0,Semi-Furnished,Owner,"Amogha By Adani Realty, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Aastha Prime, Zundal, Ahmedabad",4100.0,109.0,2.0,2.0,Semi-Furnished,Owner,"Aastha Prime, Zundal, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Safal Riviera Aspire, Shela, Ahmedabad",176.0,1507.0,3.0,3.0,Unfurnished,Owner,"Safal Riviera Aspire, Shela, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Sanghavi Manor Ananda, Iscon Ambli Road, Ahmedabad",311.0,2035.0,4.0,3.0,Unfurnished,Owner,"Sanghavi Manor Ananda, Iscon Ambli Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Gala Eternia, Thaltej, Ahmedabad",150.0,1745.0,3.0,3.0,Semi-Furnished,Owner,"Gala Eternia, Thaltej, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Vraj Dham IV, Ghatlodiya, Ahmedabad",4900.0,8500.0,2.0,2.0,Furnished,Owner,"Vraj Dham Iv, Ghatlodiya, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Sun Parkwest, Shela, Ahmedabad",6380.0,870.0,3.0,3.0,Unfurnished,Agent,"Sun Parkwest, Shela, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Keshav Nagar, Ahmedabad",4500.0,1000.0,3.0,3.0,Semi-Furnished,Owner,"Keshav Nagar, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Vastral, Ahmedabad",3200.0,91.0,1.0,1.0,Furnished,Owner,"Vastral, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Laxmi Villa 2, Naroda, Ahmedabad",4000.0,110.0,2.0,2.0,Unfurnished,Owner,"Laxmi Villa 2, Naroda, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Adani Pratham, Sarkhej Gandhinagar Highway, Ahmedabad",3900.0,677.0,1.0,1.0,Semi-Furnished,Owner,"Adani Pratham, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in HN Riviera Woods, Shela, Ahmedabad",300.0,3538.0,4.0,3.0,Furnished,Owner,"Hn Riviera Woods, Shela, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Gulab Tower, Thaltej Road, Ahmedabad",9100.0,1420.0,3.0,3.0,Furnished,Owner,"Gulab Tower, Thaltej Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in SNA Al Arsh 3, Juhapura, Ahmedabad",105.0,200.0,3.0,3.0,Unfurnished,Owner,"Sna Al Arsh 3, Juhapura, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Aakruti Township, Narolgam, Ahmedabad",2100.0,630.0,1.0,1.0,Unfurnished,Owner,"Aakruti Township, Narolgam, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Bodakdev, Ahmedabad",135.0,1225.0,3.0,3.0,Furnished,Owner,"Bodakdev, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Satyam Skyline 2, AEC Char Rasta, Ahmedabad",185.0,1550.0,4.0,3.0,Unfurnished,Owner,"Satyam Skyline 2, Aec Char Rasta, Ahmedabad",Ahmedabad,MagicBricks
"Studio Apartment for Sale in 7 Oak Shangri La, Dholera, Ahmedabad",4500.0,1462.0,3.0,3.0,Unfurnished,Owner,"7 Oak Shangri La, Dholera, Ahmedabad",Ahmedabad,MagicBricks
"5 BHK Flat for Sale in Saanvi Skydeck Serene, Godhavi, Ahmedabad",275.0,2050.0,5.0,3.0,Unfurnished,Owner,"Saanvi Skydeck Serene, Godhavi, Ahmedabad",Ahmedabad,MagicBricks
"2 BHK Flat for Sale in Swaminaray appartment, Narolgam, Ahmedabad",2100.0,1020.0,2.0,2.0,Unfurnished,Owner,"Swaminaray Appartment, Narolgam, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in Riviera Majestica, Shela, Ahmedabad",227.0,2271.0,4.0,3.0,Unfurnished,Owner,"Riviera Majestica, Shela, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Shagun Plaza, Vastrapur, Ahmedabad",7200.0,117.0,3.0,3.0,Semi-Furnished,Owner,"Shagun Plaza, Vastrapur, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Skylon, Gota Gam, Ahmedabad",130.0,1890.0,3.0,3.0,Semi-Furnished,Owner,"Skylon, Gota Gam, Ahmedabad",Ahmedabad,MagicBricks
"4 BHK Flat for Sale in North One, Ambli, Ahmedabad",427.0,5900.0,4.0,3.0,Semi-Furnished,Owner,"North One, Ambli, Ahmedabad",Ahmedabad,MagicBricks
"1 BHK Flat for Sale in Devashray City, Sardar Patel Ring Road, Ahmedabad",1550.0,354.0,1.0,1.0,Semi-Furnished,Owner,"Devashray City, Sardar Patel Ring Road, Ahmedabad",Ahmedabad,MagicBricks
"3 BHK Flat for Sale in Swati Chrysantha, Shela, Ahmedabad",8000.0,1486.0,3.0,3.0,Furnished,Owner,"Swati Chrysantha, Shela, Ahmedabad",Ahmedabad,MagicBricks
