Property Title,Price,Area,BHK,Bathrooms,Furnishing,Seller Type,Locality,City,Source,Raw_Details,Price_Lakhs,Area_SqFt,Bathroom,Price_Per_SqFt,Area_Category,Property_Type,Price_Segment,Locality_Property_Count,Bathroom_BHK_Ratio,Area_Per_Bedroom,Space_Quality,Furnishing_Encoded,Area_Category_Encoded,Property_Type_Encoded,Price_Segment_Encoded,Space_Quality_Encoded,Is_Top_Locality
"3 BHK Flat for Sale in Riviera Bliss, South Bopal, Bopal, Ahmedabad",₹1.33 Cr,1283 sqft,3.0,,Unfurnished,Agent,"Riviera Bliss, South Bopal, Bopal, Ahmedabad",Ahmedabad,MagicBricks,"8 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Riviera Bliss, South Bopal, Bopal, Ahmedabad | Riviera Bliss | Carpet Area | 1283 sqft | Under Construction | Poss. by Dec '29 | Transaction | New Property | Furnishing | Unfurnished | Society | Riviera Bliss | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in South Bopal, Ahmedabad. Covered area is 2420.0 Sq-ft. This property belongs to ""Riviera Bliss"" . | View Property | Nearby | Green Grocers | Parul Institute of Applied Sciences and Research | Galaxy Hospital - Multispeciality Hospital | Bopal Haat And Shopping Centre | Balaji super market | ₹ | 1.33 Cr | ₹ | 5500 per sqft | Contact Agent | Enquire Now",133.0,1283.0,3.0,10366.328916601715,Medium,3BHK,Premium (1-2Cr),2,,427.6666666666667,Standard,2,2,1,3,2,0
"3 BHK Flat for Sale in Status Aurum, Gota, Ahmedabad",₹1.36 Cr,2286 sqft,3.0,,Unfurnished,Agent,"Status Aurum, Gota, Ahmedabad",Ahmedabad,MagicBricks,"13 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Status Aurum, Gota, Ahmedabad | Status Aurum | Super Area | 2286 sqft | Under Construction | Poss. by Dec '26 | Transaction | New Property | Furnishing | Unfurnished | Society | Status Aurum | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Gota, Ahmedabad. Covered area is 2286.0 Sq-ft. This property belongs to ""Status Aurum"" . | View Property | Nearby | Central Point | shree radhe super market | Nirma University of Science and Technology | Global Indian International School | Vizcare Hospital | Rudram Hospital | Shreeji Mall | Melady Estate | Vandematram Arcade | ₹ | 1.36 Cr | ₹ | 5976 per sqft | Contact Agent | Enquire Now",136.0,2286.0,3.0,5949.25634295713,Large,3BHK,Premium (1-2Cr),1,,762.0,Spacious,2,1,1,3,1,0
"4 BHK Flat for Sale in The Empiirean, Sarkhej Gandhinagar Highway, Ahmedabad",₹2.50 Cr,1872 sqft,4.0,,Unfurnished,Agent,"The Empiirean, Sarkhej Gandhinagar Highway, Ahmedabad",Ahmedabad,MagicBricks,"33 | + | Photos | Posted: Nov 22, '25 | 4 BHK Flat for Sale in The Empiirean, Sarkhej Gandhinagar Highway, Ahmedabad | The Empiirean | Carpet Area | 1872 sqft | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | The Empiirean | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Sarkhej Gandhinagar Highway, Ahmedabad. Covered area is 1872.0 Sq-ft. This property belongs to ""The Empiirean"" . | View Property | Nearby | Pmg Hospital ( Orthopedic Joint Replacement & Advanced Surgical Center ) | Dev Arc Mall | ₹ | 2.50 Cr | Contact Agent | Enquire Now",250.0,1872.0,4.0,13354.700854700855,Large,4BHK,Luxury (> 2Cr),1,,468.0,Standard,2,1,2,2,2,0
"5 BHK Flat for Sale in Rajyash Regius, Bopal, Ahmedabad",₹2.59 Cr,2535 sqft,5.0,,Unfurnished,Agent,"Rajyash Regius, Bopal, Ahmedabad",Ahmedabad,MagicBricks,"49 | + | Photos | Posted: Nov 20, '25 | 5 BHK Flat for Sale in Rajyash Regius, Bopal, Ahmedabad | Rajyash Regius | Carpet Area | 2535 sqft | Under Construction | Poss. by Dec '26 | Transaction | New Property | Furnishing | Unfurnished | Society | Rajyash Regius | Bathroom | 5 | Balcony | 1 | Multistorey Apartment for Sale in Bopal, Ahmedabad. Covered area is 4610.0 Sq-ft. This property belongs to ""Rajyash Regius"" . | View Property | Nearby | Open Vegetable Market-Bopal | TRP Mall | Bhavna B.Ed college | Anant National University | Poojan Hospital | Galaxy Hospital - Multispeciality Hospital | Daffodils Plaza | Balaji super market | Ambli Gam Brts Bus Stop | ₹ | 2.59 Cr | ₹ | 5621 per sqft | Contact Agent | Enquire Now",259.0,2535.0,5.0,10216.962524654833,Extra Large,Luxury (5+ BHK),Luxury (> 2Cr),7,,507.0,Standard,2,0,3,2,2,0
"4 BHK Flat for Sale in Tremont Terra, Khodiyar, Ahmedabad",₹2.80 Cr,2255 sqft,4.0,,Unfurnished,Agent,"Tremont Terra, Khodiyar, Ahmedabad",Ahmedabad,MagicBricks,"10 | + | Photos | Posted: Yesterday | NEWLY LAUNCHED | 4 BHK Flat for Sale in Tremont Terra, Khodiyar, Ahmedabad | Tremont Terra | Carpet Area | 2255 sqft | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Tremont Terra | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Khodiyar, Ahmedabad. Covered area is 4100.0 Sq-ft. This property belongs to ""Tremont Terra"" . | View Property | Nearby | Adani Shantigram Mall | Gems Genesis School | KD Hospital | K D Hospital | Khodiyar Cross Road Bus Stop | ₹ | 2.80 Cr | ₹ | 6829 per sqft | Contact Agent | Enquire Now",280.0,2255.0,4.0,12416.851441241684,Large,4BHK,Luxury (> 2Cr),1,,563.75,Standard,2,1,2,2,2,0
"3 BHK Flat for Sale in Orchid Finsbury, Bopal, Ahmedabad",₹79.6 Lac,973 sqft,3.0,,Unfurnished,Agent,"Orchid Finsbury, Bopal, Ahmedabad",Ahmedabad,MagicBricks,"1 | Photo | Posted: Today | 3 BHK Flat for Sale in Orchid Finsbury, Bopal, Ahmedabad | Orchid Finsbury | Carpet Area | 973 sqft | Under Construction | Poss. by Dec '29 | Transaction | New Property | Furnishing | Unfurnished | Society | Orchid Finsbury | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Bopal, Ahmedabad. Covered area is 1769.0 Sq-ft. This property belongs to ""Orchid Finsbury"" . | View Property | Nearby | Sobo Center | Jay Mataji Pan Parlour | Shiv Ashish School | St Anns School | Krishna Shalby Multi-Specialty Hospital | Saraswati Multispeciality Hospital & Trauma Center | Bopal Haat And Shopping Centre | Daffodils Plaza | Ambli Gam Brts Bus Stop | ₹ | 79.6 Lac | ₹ | 4500 per sqft | Contact Agent | Enquire Now",79.6,973.0,3.0,8180.883864337101,Medium,3BHK,Affordable (50L-1Cr),1,,324.3333333333333,Compact,2,2,1,0,0,0
"4 BHK Flat for Sale in Rajshree Regalia, Gota, Ahmedabad",₹1.54 Cr,1778 sqft,4.0,,Unfurnished,Agent,"Rajshree Regalia, Gota, Ahmedabad",Ahmedabad,MagicBricks,"7 | + | Photos | Posted: Nov 22, '25 | 4 BHK Flat for Sale in Rajshree Regalia, Gota, Ahmedabad | Rajshree Regalia | Carpet Area | 1778 sqft | Under Construction | Poss. by Nov '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Rajshree Regalia | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Gota, Ahmedabad. Covered area is 3232.0 Sq-ft. This property belongs to ""Rajshree Regalia"" . | View Property | Nearby | Vandematram Arcade | shree radhe super market | Nirma University | Silver Oak College of Engineering Technology | Sunrise Hospital | Shiv Orthopedic & Dental Hospital | P Square Movieplex | Melady Estate | Vandematram Arcade | ₹ | 1.54 Cr | ₹ | 4777 per sqft | Contact Agent | Enquire Now",154.0,1778.0,4.0,8661.417322834646,Large,4BHK,Premium (1-2Cr),1,,444.5,Standard,2,1,2,3,2,0
"3 BHK Flat for Sale in Vibgyor Sculpture, Ognaj, Ahmedabad",₹1.29 Cr,2916 sqft,3.0,,Unfurnished,Agent,"Vibgyor Sculpture, Ognaj, Ahmedabad",Ahmedabad,MagicBricks,"28 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Vibgyor Sculpture, Ognaj, Ahmedabad | Vibgyor Sculpture | Super Area | 2916 sqft | Under Construction | Poss. by Jun '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Vibgyor Sculpture | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Ognaj, Ahmedabad. Covered area is 2916.0 Sq-ft. This property belongs to ""Vibgyor Sculpture"" . | View Property | Nearby | Sabarmati University | ₹ | 1.29 Cr | ₹ | 4445 per sqft | Contact Agent | Enquire Now",129.0,2916.0,3.0,4423.868312757201,Extra Large,3BHK,Premium (1-2Cr),1,,972.0,Very Spacious,2,0,1,3,3,0
"4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad",₹2.02 Cr,3879 sqft,4.0,,Unfurnished,Agent,"THE REGAL, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,"4 | + | Photos | Posted: Yesterday | 4 BHK Flat for Sale in THE REGAL, Vaishnodevi Circle, Ahmedabad | THE REGAL | Super Area | 3879 sqft | Under Construction | Poss. by Dec '28 | Transaction | New Property | Furnishing | Unfurnished | Society | THE REGAL | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Vaishnodevi Circle, Ahmedabad. Covered area is 3879.0 Sq-ft. This property belongs to ""THE REGAL"" . | View Property | Nearby | Shaligram Lakeview | Adani Institute of Infrastructure Management | Hiramani School | KD Hospital | Vaishnodevi Circle Bus Stop | ₹ | 2.02 Cr | ₹ | 5222 per sqft | Contact Agent | Enquire Now",202.0,3879.0,4.0,5207.527713328177,Extra Large,4BHK,Luxury (> 2Cr),3,,969.75,Very Spacious,2,0,2,2,3,0
"4 BHK Flat for Sale in Shilp Residency, Gota, Ahmedabad",₹3.30 Cr,2775 sqft,4.0,,Unfurnished,Agent,"Shilp Residency, Gota, Ahmedabad",Ahmedabad,MagicBricks,"58 | + | Photos | Posted: Nov 21, '25 | 4 BHK Flat for Sale in Shilp Residency, Gota, Ahmedabad | Shilp Residency | Carpet Area | 2775 sqft | Under Construction | Poss. by Jun '26 | Transaction | New Property | Furnishing | Unfurnished | Society | Shilp Residency | Car Parking | 1 Open | Bathroom | 4 | Balcony | 2 | Penthouse for Sale in Gota, Ahmedabad. Covered area is 5045.0 Sq-ft. This property belongs to ""Shilp Residency"" . | View Property | Nearby | Athena Avenue | Aai ji super market | Nirma University of Science and Technology | Silver Oak College of Engineering Technology | Vizcare Hospital | Rudram Hospital | Melady Estate | P Square Movieplex | Vandematram Arcade | ₹ | 3.30 Cr | ₹ | 6541 per sqft | Contact Agent | Enquire Now",330.0,2775.0,4.0,11891.891891891892,Extra Large,4BHK,Luxury (> 2Cr),8,,693.75,Spacious,2,0,2,2,1,0
"4 BHK Flat for Sale in Riviera Majestica, Shela, Ahmedabad",₹2.47 Cr,2271 sqft,4.0,,Unfurnished,Agent,"Riviera Majestica, Shela, Ahmedabad",Ahmedabad,MagicBricks,"40 | + | Photos | Posted: Yesterday | 4 BHK Flat for Sale in Riviera Majestica, Shela, Ahmedabad | Riviera Majestica | Carpet Area | 2271 sqft | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Riviera Majestica | Bathroom | 4 | Balcony | 1 | Multistorey Apartment for Sale in Shela, Ahmedabad. Covered area is 4130.0 Sq-ft. This property belongs to ""Riviera Majestica"" . | View Property | Nearby | Freshqo | Pihu Fruits and Vegetables Market | Shanti Asiatic School | MICA | ₹ | 2.47 Cr | ₹ | 6000 per sqft | Contact Agent | Enquire Now",247.00000000000003,2271.0,4.0,10876.265962131221,Large,4BHK,Luxury (> 2Cr),7,,567.75,Standard,2,1,2,2,2,0
"3 BHK Flat for Sale in Kavisha The Portrait, Shela, Ahmedabad",₹93.3 Lac,1194 sqft,3.0,,Unfurnished,Agent,"Kavisha The Portrait, Shela, Ahmedabad",Ahmedabad,MagicBricks,"20 | + | Photos | Posted: Nov 19, '25 | 3 BHK Flat for Sale in Kavisha The Portrait, Shela, Ahmedabad | Kavisha The Portrait | Carpet Area | 1194 sqft | Under Construction | Poss. by Dec '27 | Transaction | New Property | Furnishing | Unfurnished | Society | Kavisha The Portrait | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Shela, Ahmedabad. Covered area is 2170.0 Sq-ft. This property belongs to ""Kavisha The Portrait"" . | View Property | Nearby | Pihu Fruits and Vegetables Market | Freshqo | Shanti Business School | MICA | ₹ | 93.3 Lac | ₹ | 4300 per sqft | Contact Agent | Enquire Now",93.3,1194.0,3.0,7814.070351758794,Medium,3BHK,Affordable (50L-1Cr),3,,398.0,Compact,2,2,1,0,0,0
"3 BHK Flat for Sale in Bluvian Nivaasa, Shela, Ahmedabad",₹78.6 Lac,1750 sqft,3.0,,Unfurnished,Agent,"Bluvian Nivaasa, Shela, Ahmedabad",Ahmedabad,MagicBricks,"20 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Bluvian Nivaasa, Shela, Ahmedabad | Bluvian Nivaasa | Super Area | 1750 sqft | Under Construction | Poss. by Dec '28 | Transaction | New Property | Furnishing | Unfurnished | Society | Bluvian Nivaasa | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Shela, Ahmedabad. Covered area is 1750.0 Sq-ft. This property belongs to ""Nivaasa"" . | View Property | Nearby | Pihu Fruits and Vegetables Market | Freshqo | MICA | Shanti Business School | ₹ | 78.6 Lac | ₹ | 4493 per sqft | Contact Agent | Enquire Now",78.6,1750.0,3.0,4491.428571428571,Large,3BHK,Affordable (50L-1Cr),2,,583.3333333333334,Standard,2,1,1,0,2,0
"4 BHK Flat for Sale in Divyajyot Sarang Lakeview, Vaishnodevi Circle, Ahmedabad",₹1.59 Cr,2174 sqft,4.0,,Unfurnished,Agent,"Divyajyot Sarang Lakeview, Vaishnodevi Circle, Ahmedabad",Ahmedabad,MagicBricks,"48 | + | Photos | Posted: Nov 23, '25 | 4 BHK Flat for Sale in Divyajyot Sarang Lakeview, Vaishnodevi Circle, Ahmedabad | Divyajyot Sarang Lakeview | Carpet Area | 2174 sqft | Status | Ready to Move | Transaction | New Property | Furnishing | Unfurnished | Society | Divyajyot Sarang Lakeview | Bathroom | 4 | Balcony | 3 | Multistorey Apartment for Sale in Vaishnodevi Circle, Ahmedabad. Covered area is 3348.0 Sq-ft. This property belongs to ""Sarang Lakeview"" . | View Property | Nearby | Shaligram Lakeview | Hiramani School | Adani Institute of Infrastructure Management | KD Hospital | Vaishnodevi Circle Bus Stop | ₹ | 1.59 Cr | ₹ | 4777 per sqft | Contact Agent | Enquire Now",159.0,2174.0,4.0,7313.707451701932,Large,4BHK,Premium (1-2Cr),2,,543.5,Standard,2,1,2,3,2,0
"3 BHK Flat for Sale in Shyam Zircon Amora, Motera, Ahmedabad",₹77.8 Lac,1845 sqft,3.0,,Unfurnished,Agent,"Shyam Zircon Amora, Motera, Ahmedabad",Ahmedabad,MagicBricks,"7 | + | Photos | Posted: Yesterday | 3 BHK Flat for Sale in Shyam Zircon Amora, Motera, Ahmedabad | Shyam Zircon Amora | Super Area | 1845 sqft | Under Construction | Poss. by Dec '28 | Transaction | New Property | Furnishing | Unfurnished | Society | Shyam Zircon Amora | Bathroom | 3 | Balcony | 1 | Multistorey Apartment for Sale in Motera, Ahmedabad. Covered area is 1845.0 Sq-ft. This property belongs to ""Shyam Zircon Amora"" . | View Property | Nearby | 4D Square Mall, Motera | North Plaza | Swastik School | IDP School | Sentara Hospital | Matis Multispeciality Hospital | Agora Mall | DMart | Motera Metro Station | Shrushti Arcade Bus Stop | ₹ | 77.8 Lac | ₹ | 4217 per sqft | Contact Agent | Enquire Now",77.8,1845.0,3.0,4216.80216802168,Large,3BHK,Affordable (50L-1Cr),2,,615.0,Spacious,2,1,1,0,1,0
"3 BHK Flat for Sale in Shilp Serene, Shilaj, Ahmedabad",₹1.01 Cr,968 sqft,3.0,,Unfurnished,Builder,"Shilp Serene, Shilaj, Ahmedabad",Ahmedabad,MagicBricks,"Outdoor Kids' Play Area | Tennis Court at Club Terrace | Netted Cricket Practice Pitch | Indoor Swimming Pool | ZERO BROKERAGE | 3 BHK Flat for Sale in Shilp Serene, Shilaj, Ahmedabad | Shilp Serene | Carpet Area | 968 sqft | Under Construction | Poss. by Dec '25 | Transaction | New Property | Furnishing | Unfurnished | Society | Shilp Serene | Bathroom | 3 | Welcome to a sophisticated, metropolitan lifestyle within a vibrant community on the cusp of an urban and serene backdrop. Shilp Serene is a collection of two and three bedroom stunning homes, offering an unparalleled combination of contemporary design, sought-after amenities and endless views. | Read more | ₹ | 1.01 Cr | ₹ | 5772 per sqft | Request Callback | Get Info | Builder: Shilp Group | Operating Since: 2004",101.0,968.0,3.0,10433.88429752066,Medium,3BHK,Premium (1-2Cr),3,,322.6666666666667,Compact,2,2,1,3,0,0
